Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Paul Millsap,43:27,19,28,.679,3,3,1.000,5,7,.714,4,5,9,1,1,1,1,4,46,+2,0
Deron Williams,42:42,9,15,.600,1,2,.500,2,2,1.000,1,3,4,14,0,0,3,6,21,+4,0
Andrei Kirilenko,39:28,5,12,.417,2,3,.667,4,4,1.000,2,7,9,7,1,1,1,1,16,0,0
Al Jefferson,27:59,1,7,.143,0,0,nan,0,0,nan,1,8,9,2,1,1,0,3,2,-10,0
Raja Bell,26:55,1,6,.167,1,2,.500,0,0,nan,0,2,2,2,0,0,0,2,3,-10,0
C.J. Miles,28:46,5,14,.357,0,6,.000,2,2,1.000,0,4,4,4,2,1,3,5,12,+13,0
Ronnie Price,19:37,2,5,.400,1,2,.500,0,0,nan,1,2,3,0,1,0,3,4,5,+6,0
Kyrylo Fesenko,18:30,2,3,.667,0,0,nan,1,2,.500,1,1,2,0,0,1,1,5,5,+11,0
Francisco Elson,6:28,0,1,.000,0,0,nan,2,2,1.000,0,1,1,0,0,0,0,0,2,-1,0
Gordon Hayward,5:57,1,2,.500,0,1,.000,0,0,nan,0,1,1,0,0,0,0,2,2,-1,0
Earl Watson,5:12,0,0,nan,0,0,nan,2,2,1.000,0,0,0,0,0,0,0,0,2,-4,0
Team Totals,265,45,93,.484,8,19,.421,18,21,.857,10,34,44,30,6,5,12,32,116,nan,0
LeBron James,46:44,5,18,.278,0,1,.000,10,11,.909,2,9,11,14,1,3,2,3,20,+4,1
Dwyane Wade,41:53,12,23,.522,3,5,.600,12,16,.750,1,5,6,1,1,0,2,3,39,0,1
Chris Bosh,40:44,7,13,.538,0,0,nan,3,6,.500,1,8,9,3,0,2,1,2,17,-1,1
Carlos Arroyo,29:28,2,4,.500,1,1,1.000,5,7,.714,0,0,0,2,0,0,0,1,10,+5,1
Joel Anthony,17:30,2,3,.667,0,0,nan,0,0,nan,2,3,5,0,0,1,0,1,4,+12,1
Udonis Haslem,30:47,2,5,.400,0,0,nan,1,2,.500,3,6,9,0,1,0,1,3,5,-13,1
James Jones,27:59,2,5,.400,2,5,.400,5,5,1.000,0,1,1,0,0,0,1,3,11,-5,1
Zydrunas Ilgauskas,16:57,3,6,.500,0,0,nan,0,0,nan,1,3,4,1,0,1,4,3,6,-4,1
Eddie House,13:00,1,5,.200,0,3,.000,0,0,nan,0,1,1,0,0,0,0,1,2,-8,1
265,45,93,.484,8,19,.421,18,21,.857,10,34,44,30,6,5,12,32,116,nan,265,1
