Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,53:00,16,29,.552,3,10,.300,9,11,.818,2,4,6,3,4,0,10,3,44,+1,0
Drew Gooden,38:00,3,9,.333,0,0,nan,5,5,1.000,3,8,11,3,1,0,1,2,11,+20,0
Zydrunas Ilgauskas,30:00,4,7,.571,0,0,nan,6,6,1.000,2,7,9,1,0,1,1,4,14,-3,0
Eric Snow,30:00,0,4,.000,0,1,.000,0,0,nan,1,2,3,6,0,0,1,3,0,-7,0
Ira Newble,26:00,1,3,.333,1,1,1.000,0,0,nan,0,3,3,0,0,0,1,0,3,-9,0
Anderson Varejao,20:00,3,4,.750,0,0,nan,3,5,.600,0,3,3,2,2,1,0,4,9,+4,0
Robert Traylor,18:00,5,8,.625,0,0,nan,2,4,.500,3,1,4,1,1,0,0,4,12,-17,0
Sasha Pavlovic,15:00,5,8,.625,3,4,.750,0,0,nan,0,0,0,0,0,0,0,0,13,+16,0
Jeff McInnis,12:00,0,5,.000,0,0,nan,0,0,nan,0,0,0,4,1,0,0,1,0,-8,0
Jiri Welsch,11:00,0,1,.000,0,1,.000,3,4,.750,0,1,1,1,0,0,0,1,3,+16,0
Lucious Harris,11:00,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-6,0
DeSagana Diop,1:00,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-2,0
Team Totals,265,37,79,.468,7,17,.412,28,35,.800,11,29,40,21,9,2,14,22,109,nan,0
J.R. Smith,43:00,8,16,.500,4,7,.571,2,2,1.000,3,1,4,3,2,0,2,2,22,+3,1
P.J. Brown,38:00,3,9,.333,0,0,nan,5,5,1.000,2,9,11,3,1,0,0,3,11,+3,1
Dan Dickau,36:00,3,13,.231,1,3,.333,4,4,1.000,1,2,3,12,0,0,3,3,11,+1,1
Jamaal Magloire,35:00,7,10,.700,0,0,nan,1,5,.200,1,7,8,1,1,2,2,3,15,+2,1
Lee Nailon,31:00,7,11,.636,0,0,nan,1,2,.500,2,1,3,2,1,0,1,1,15,+4,1
Bostjan Nachbar,22:00,6,9,.667,3,4,.750,2,2,1.000,2,3,5,2,0,0,2,5,17,-5,1
Chris Andersen,18:00,4,6,.667,0,0,nan,3,4,.750,0,1,1,2,0,0,1,3,11,-3,1
Speedy Claxton,17:00,1,3,.333,0,1,.000,0,0,nan,1,0,1,7,1,0,1,1,2,-2,1
David West,15:00,2,4,.500,0,0,nan,0,2,.000,1,1,2,1,1,0,2,3,4,-4,1
Casey Jacobsen,10:00,0,2,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,1,0,0,-4,1
265,37,79,.468,7,17,.412,28,35,.800,11,29,40,21,9,2,14,22,109,nan,265,1
