Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,43:02,12,26,.462,0,4,.000,1,3,.333,7,6,13,7,3,2,3,1,25,-13,0
Mario Chalmers,36:29,5,12,.417,4,8,.500,1,1,1.000,2,2,4,2,3,0,0,3,15,-6,0
Joel Anthony,34:13,2,6,.333,0,0,nan,3,4,.750,3,1,4,0,1,1,0,3,7,-6,0
Dwyane Wade,31:07,7,17,.412,1,4,.250,1,2,.500,2,2,4,5,2,1,5,6,16,+4,0
Udonis Haslem,19:28,0,5,.000,0,0,nan,0,0,nan,0,2,2,1,0,0,0,3,0,-9,0
Shane Battier,32:39,3,11,.273,1,7,.143,0,0,nan,2,1,3,4,1,0,0,4,7,-5,0
Mike Miller,17:44,3,5,.600,0,0,nan,0,0,nan,0,0,0,3,0,1,2,1,6,-7,0
Norris Cole,11:32,1,1,1.000,1,1,1.000,0,0,nan,0,0,0,0,0,0,1,0,3,-4,0
Juwan Howard,8:58,0,5,.000,0,0,nan,3,3,1.000,2,2,4,0,0,0,1,0,3,+1,0
Dexter Pittman,4:49,0,0,nan,0,0,nan,1,2,.500,0,1,1,0,0,0,0,2,1,-5,0
Team Totals,240,33,88,.375,7,24,.292,10,15,.667,18,17,35,22,10,5,12,23,83,nan,0
Andrew Bynum,39:58,6,11,.545,0,0,nan,4,4,1.000,3,10,13,2,0,4,0,0,16,+2,1
Kobe Bryant,38:54,14,23,.609,0,2,.000,5,7,.714,1,2,3,1,0,0,3,0,33,+8,1
Metta World Peace,37:48,6,10,.600,2,4,.500,3,4,.750,2,5,7,3,4,1,1,4,17,+8,1
Pau Gasol,36:21,4,10,.400,0,1,.000,3,4,.750,5,5,10,4,1,1,4,3,11,+7,1
Derek Fisher,19:14,1,4,.250,0,1,.000,2,2,1.000,0,2,2,1,0,0,3,4,4,+8,1
Steve Blake,28:42,1,4,.250,1,4,.250,0,0,nan,0,2,2,6,2,0,2,1,3,+3,1
Troy Murphy,19:18,0,2,.000,0,1,.000,0,0,nan,2,2,4,2,0,3,1,1,0,+10,1
Matt Barnes,10:14,1,1,1.000,0,0,nan,0,2,.000,0,2,2,0,0,1,1,3,2,+2,1
Andrew Goudelock,9:31,2,6,.333,2,4,.500,1,2,.500,0,1,1,0,0,0,1,1,7,+2,1
240,33,88,.375,7,24,.292,10,15,.667,18,17,35,22,10,5,12,23,83,nan,240,1
