Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,43:19,8,18,.444,4,7,.571,4,6,.667,4,2,6,5,1,3,2,6,24,-3,0
Dwyane Wade,37:18,5,15,.333,0,0,nan,6,6,1.000,2,1,3,6,1,1,3,5,16,-2,0
Chris Bosh,29:31,1,6,.167,1,3,.333,4,4,1.000,1,2,3,1,0,1,0,4,7,-2,0
Mario Chalmers,28:43,6,14,.429,0,2,.000,8,8,1.000,1,2,3,1,2,0,0,5,20,+11,0
Udonis Haslem,17:46,3,5,.600,0,0,nan,0,0,nan,0,2,2,0,2,0,0,1,6,-10,0
Ray Allen,32:07,4,13,.308,2,7,.286,1,1,1.000,1,6,7,1,1,0,1,1,11,-6,0
Chris Andersen,18:51,0,0,nan,0,0,nan,0,0,nan,1,1,2,0,0,0,0,4,0,-11,0
Shane Battier,17:23,1,3,.333,1,3,.333,1,2,.500,1,1,2,0,0,0,0,3,4,-10,0
Norris Cole,12:40,2,3,.667,0,1,.000,0,0,nan,1,1,2,1,0,0,0,0,4,-9,0
Joel Anthony,2:09,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,+5,0
Mike Miller,0:14,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+2,0
Team Totals,240,30,77,.390,8,23,.348,24,27,.889,12,18,30,15,7,5,6,30,92,nan,0
Lance Stephenson,40:38,9,15,.600,1,3,.333,1,2,.500,1,4,5,2,0,0,1,5,20,+14,1
Roy Hibbert,40:03,10,16,.625,0,0,nan,3,4,.750,6,6,12,1,1,0,2,1,23,+5,1
George Hill,38:45,4,13,.308,2,6,.333,9,10,.900,1,4,5,6,0,1,1,2,19,+4,1
David West,38:31,5,11,.455,0,0,nan,4,6,.667,4,8,12,2,0,1,1,4,14,+6,1
Paul George,33:01,4,10,.400,0,4,.000,4,5,.800,1,7,8,3,0,2,5,4,12,+3,1
D.J. Augustin,17:59,0,0,nan,0,0,nan,0,0,nan,0,0,0,3,0,0,2,3,0,-9,1
Sam Young,14:22,2,3,.667,0,1,.000,2,2,1.000,1,5,6,0,2,0,0,3,6,+7,1
Tyler Hansbrough,9:18,0,0,nan,0,0,nan,3,4,.750,0,0,0,1,0,0,0,1,3,+1,1
Ian Mahinmi,7:23,1,2,.500,0,0,nan,0,0,nan,1,0,1,0,0,1,0,2,2,+4,1
240,30,77,.390,8,23,.348,24,27,.889,12,18,30,15,7,5,6,30,92,nan,240,1
