Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Tony Parker,38:00,8,16,.500,0,2,.000,3,3,1.000,3,5,8,10,1,0,3,1,19,-4,0
Bruce Bowen,38:00,4,9,.444,3,4,.750,0,2,.000,3,4,7,0,0,1,0,1,11,-2,0
Tim Duncan,32:00,9,17,.529,0,0,nan,2,4,.500,2,9,11,3,0,1,4,4,20,+4,0
Rasho Nesterovic,32:00,4,7,.571,0,0,nan,0,0,nan,2,4,6,2,0,3,0,5,8,+11,0
Manu Ginobili,30:00,4,9,.444,0,2,.000,9,14,.643,1,1,2,3,1,0,4,4,17,+9,0
Brent Barry,18:00,5,9,.556,1,4,.250,0,1,.000,0,2,2,1,0,0,1,1,11,-5,0
Nazr Mohammed,16:00,2,6,.333,0,0,nan,2,4,.500,2,4,6,0,0,0,2,4,6,-11,0
Robert Horry,16:00,1,3,.333,0,1,.000,0,0,nan,1,1,2,0,1,0,0,1,2,-2,0
Devin Brown,10:00,0,2,.000,0,0,nan,0,0,nan,0,0,0,0,1,2,1,2,0,+4,0
Beno Udrih,10:00,0,2,.000,0,0,nan,0,0,nan,0,0,0,3,0,0,0,0,0,+6,0
Team Totals,240,37,80,.463,4,13,.308,16,28,.571,14,30,44,22,4,7,15,23,94,nan,0
LeBron James,45:00,6,22,.273,1,4,.250,7,10,.700,1,7,8,7,0,0,2,3,20,+2,1
Zydrunas Ilgauskas,40:00,10,21,.476,0,1,.000,6,7,.857,4,4,8,4,0,3,3,4,26,-2,1
Drew Gooden,39:00,5,13,.385,0,0,nan,0,0,nan,3,9,12,3,3,1,0,2,10,+9,1
Jeff McInnis,34:00,6,12,.500,2,3,.667,0,0,nan,0,2,2,3,1,0,2,5,14,+4,1
Ira Newble,33:00,4,5,.800,0,0,nan,2,2,1.000,1,3,4,2,1,1,2,1,10,+3,1
Eric Snow,21:00,3,3,1.000,0,0,nan,0,0,nan,0,1,1,2,2,0,0,3,6,-10,1
Robert Traylor,9:00,2,4,.500,0,0,nan,0,0,nan,0,1,1,1,0,0,2,4,4,-9,1
Lucious Harris,9:00,0,2,.000,0,0,nan,0,0,nan,1,1,2,0,0,0,0,2,0,-3,1
DeSagana Diop,7:00,0,1,.000,0,0,nan,0,0,nan,1,0,1,1,1,1,0,0,0,0,1
Sasha Pavlovic,3:00,1,2,.500,0,0,nan,0,0,nan,0,0,0,0,0,0,1,2,2,-4,1
240,37,80,.463,4,13,.308,16,28,.571,14,30,44,22,4,7,15,23,94,nan,240,1
